title,label
Uniqlo Shirt,Clothings
Physics Textbook,Education
Handbag,Accessories
Fresh Apples,Groceries
Remote Control Car,Toys
Nerf Gun,Toys
Organic Milk,Groceries
Frozen Peas,Groceries
Nike Hoodie,Clothings
Fentanyl Patch,Norcotics
LG Refrigerator,Home Appliances
iPhone 14,Electronics & Gadgets
Running Shoes,Footwear
Nike Air Max,Footwear
Leather Wallet,Accessories
Bird Cage,Pet Supplies
Formal Blazer,Clothings
GPS Navigator,Automotive
Online MBA Program,Education
Puma Shorts,Clothings
Heeled Sandals,Footwear
GoPro Hero,Electronics & Gadgets
Puma Sneakers,Footwear
Motorcycle Helmet,Automotive
Lego Star Wars,Toys
Recliner Chair,Furniture
Dove Moisturizer,Cosmetics
Lakme Eyeliner,Cosmetics
Apple AirPods,Electronics & Gadgets
Puzzle Cube,Toys
GoPro Hero,Electronics & Gadgets
Uniqlo Shirt,Clothings
Olay Night Cream,Cosmetics
Hamster Wheel,Pet Supplies
Michelin Tyres,Automotive
Khan Academy Subscription,Education
Running Shoes,Footwear
Nivea Cream,Cosmetics
Fossil Watch,Accessories
Windshield Wipers,Automotive
Electric Kettle,Home Appliances
Bookshelf,Furniture
Nivea Cream,Cosmetics
Wilson Tennis Racket,Sports Equipment
Engine Oil,Automotive
Frozen Peas,Groceries
Medical Cannabis,Norcotics
Pedigree Dog Food,Pet Supplies
Bluetooth Speaker,Electronics & Gadgets
Atomic Habits,Books
Remote Control Car,Toys
Hot Wheels Car Set,Toys
Car Cover,Automotive
Recliner Chair,Furniture
Queen Size Bed,Furniture
Hamster Wheel,Pet Supplies
Heeled Sandals,Footwear
Puma Shorts,Clothings
Cat Scratching Post,Pet Supplies
Gucci Belt,Accessories
Olay Night Cream,Cosmetics
Nerf Gun,Toys
Dog Leash,Pet Supplies
Dove Moisturizer,Cosmetics
Barbie Doll,Toys
Atomic Habits,Books
Rich Dad Poor Dad,Books
Hamster Wheel,Pet Supplies
Lakme Eyeliner,Cosmetics
Necklace,Accessories
Fentanyl Patch,Norcotics
Cat Litter Box,Pet Supplies
Lakme Eyeliner,Cosmetics
Dog Leash,Pet Supplies
Basmati Rice,Groceries
Codeine Syrup,Norcotics
Medical Cannabis,Norcotics
Physics Textbook,Education
Hermès Scarf,Accessories
Almond Butter,Groceries
Diazepam Tablets,Norcotics
TV Stand,Furniture
Adidas Track Pants,Clothings
Codeine Syrup,Norcotics
Whirlpool Washing Machine,Home Appliances
Zara T-shirt,Clothings
Nerf Gun,Toys
Sony Headphones,Electronics & Gadgets
Queen Size Bed,Furniture
Dyson Vacuum Cleaner,Home Appliances
Yoga Mat,Sports Equipment
Office Chair,Furniture
H&M Jacket,Clothings
Heeled Sandals,Footwear
Dog Leash,Pet Supplies
Cricket Bat,Sports Equipment
Car Battery Charger,Automotive
Pet Water Fountain,Pet Supplies
Flip Flops,Footwear
Motorcycle Helmet,Automotive
Bose Sound System,Electronics & Gadgets
Cat Scratching Post,Pet Supplies
Pet Water Fountain,Pet Supplies
GPS Navigator,Automotive
Think and Grow Rich,Books
Online MBA Program,Education
Earrings,Accessories
Levi's Jeans,Clothings
Recliner Chair,Furniture
Morphine Injection,Norcotics
Motorcycle Helmet,Automotive
Adidas Football,Sports Equipment
